sample_id,dataset,stratum,acc_low,acc_high,acc_max,rt_low,rt_high,rt_max
gpqa_150,gpqa_diamond,1,0.0,0.0,0.0,4486.4,6464.6,10610.8
gpqa_155,gpqa_diamond,1,0.4,0.0,0.6,11491.4,16472,32176.4
gpqa_159,gpqa_diamond,1,0.8,0.4,0.4,3553,8557.4,18641
gpqa_160,gpqa_diamond,1,0.0,0.0,0.0,9699.6,2956.6,21833.6
gpqa_169,gpqa_diamond,1,0.6,0.4,0.2,2340.4,6002,13295.2
gpqa_172,gpqa_diamond,1,0.6,0.2,0.4,7977.4,6005.8,17685.6
gpqa_173,gpqa_diamond,1,0.4,0.4,0.4,7947.6,7777.6,17481.8
gpqa_181,gpqa_diamond,1,0.4,0.4,0.2,1828,8703,13116.2
gpqa_182,gpqa_diamond,1,0.0,0.0,0.0,6864.8,8003.8,18532
gpqa_183,gpqa_diamond,1,0.0,0.2,0.2,27595.2,61629.8,65777.4
gpqa_185,gpqa_diamond,1,0.4,0.0,0.2,24792.8,62125,48749.4
gpqa_186,gpqa_diamond,1,0.6,0.4,0.6,17891.4,17408.2,39654.2
gpqa_189,gpqa_diamond,1,0.0,0.0,0.0,14532.8,18077.2,26831.2
gpqa_190,gpqa_diamond,1,0.2,0.0,0.8,18213.8,24242.6,36557.4
gpqa_193,gpqa_diamond,1,0.0,0.0,0.0,3416.2,2347.8,9255.8
gpqa_194,gpqa_diamond,1,0.0,0.6,0.2,11586.6,14908,23598.4
gpqa_195,gpqa_diamond,1,0.2,0.4,0.4,6575,8993.4,20586.6
lcb_0005,livecodebench,easy,1.0,1.0,1.0,4867,6305.2,6059.2
lcb_0015,livecodebench,hard,0.0,0.0,0.0,5231.2,32640.6,17155.6
lcb_0018,livecodebench,hard,0.0,0.0,0.0,3302.8,18900.4,7239
lcb_0020,livecodebench,medium,0.0,0.0,0.0,1263,5039,8515.8
lcb_0021,livecodebench,easy,0.0,0.0,0.0,993.8,1816.4,3703.2
lcb_0022,livecodebench,medium,0.0,0.0,0.0,786.6,1157.6,1116.2
lcb_0025,livecodebench,hard,0.0,0.0,0.0,3190.4,33685.2,16862.6
lcb_0026,livecodebench,medium,0.0,0.0,0.0,10249.2,32463.2,21284
lcb_0028,livecodebench,easy,0.0,0.0,0.0,1191.8,1548,973
lcb_0033,livecodebench,easy,0.0,0.0,0.0,2492.2,5837,4165.8
lcb_0043,livecodebench,medium,0.0,0.0,0.0,3141.8,7955.2,4709.6
lcb_0045,livecodebench,medium,0.0,0.0,0.0,819.2,24473.8,9164.2
lcb_0046,livecodebench,hard,0.0,0.0,0.0,5596.8,23244.8,14323.4
lcb_0047,livecodebench,medium,0.0,0.0,0.0,11220.6,36484.8,26358
lcb_0049,livecodebench,medium,0.0,0.0,0.0,1112,5755.2,2060.4
lcb_0055,livecodebench,medium,0.0,0.0,0.0,2491.4,12059,5982
lcb_0063,livecodebench,easy,0.0,0.0,0.0,308.6,468.8,478.6
lcb_0064,livecodebench,medium,0.0,0.0,0.0,806.6,5380.8,2484.8
lcb_0065,livecodebench,medium,0.0,0.0,0.0,1993.8,17405.4,12641
lcb_0066,livecodebench,hard,0.0,0.0,0.0,7195.4,32191,23295.4
lcb_0067,livecodebench,easy,0.0,0.0,0.0,1033.2,2249.6,2906
lcb_0070,livecodebench,medium,0.0,0.0,0.0,1600.8,7299,2787
lcb_0072,livecodebench,medium,0.0,0.0,0.0,3848.2,34387.4,19372.4
lcb_0075,livecodebench,medium,0.0,0.0,0.0,10002.4,14903,10759.8
lcb_0077,livecodebench,hard,0.0,0.0,0.0,17297.4,47153.6,30375.6
lcb_0079,livecodebench,hard,0.0,0.0,0.0,8496.6,52500.4,34965.4
lcb_0080,livecodebench,hard,0.0,0.0,0.0,13855.6,53796.2,38160.4
lcb_0084,livecodebench,easy,0.0,0.0,0.0,320.6,234,404
lcb_0086,livecodebench,easy,0.0,0.0,0.0,303.2,937.2,426
lcb_0091,livecodebench,easy,0.0,0.0,0.0,1372,2004.2,2500.4
lcb_0094,livecodebench,medium,0.0,0.0,0.0,1868.8,20537.8,18095.8
lcb_0097,livecodebench,easy,0.0,0.0,0.0,307.4,528.2,319
lcb_0102,livecodebench,easy,0.0,0.0,0.0,370.8,540,375
lcb_0106,livecodebench,easy,0.0,0.0,0.0,743.2,987,1188.6
lcb_0108,livecodebench,medium,0.0,0.0,0.0,5367.2,22849,17248
lcb_0112,livecodebench,medium,0.0,0.0,0.0,2268.2,27356,20221
lcb_0113,livecodebench,medium,0.0,0.0,0.0,3862.8,18589,11328.4
lcb_0117,livecodebench,easy,0.0,0.0,0.0,863.8,1478.4,1518.4
lcb_0120,livecodebench,easy,0.0,0.0,0.0,531,429.6,1125.6
lcb_0121,livecodebench,medium,0.0,0.0,0.0,1310.4,4627.6,1796.4
lcb_0132,livecodebench,easy,0.0,0.0,0.0,2099.2,7563.6,7017.4
lcb_0133,livecodebench,medium,0.0,0.0,0.0,3921.6,21516.8,14401.6
lcb_0140,livecodebench,hard,0.0,0.0,0.0,3670.6,24982.4,15540
lcb_0144,livecodebench,easy,0.0,0.0,0.0,315.4,203.2,228.2
